数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201612,1,第1章   活动物,112,印度尼西亚,111351.0
201612,1,第1章   活动物,116,日本,501993.0
201612,1,第1章   活动物,119,老挝,5549781.0
201612,1,第1章   活动物,136,泰国,9308.0
201612,1,第1章   活动物,141,越南,341500.0
201612,1,第1章   活动物,143,中国台湾,61743.0
201612,1,第1章   活动物,304,德国,925593.0
201612,1,第1章   活动物,344,俄罗斯,1020184.0
201612,1,第1章   活动物,424,圭亚那,96131.0
201612,1,第1章   活动物,441,苏里南,28194.0
201612,1,第1章   活动物,502,美国,182261.0
201612,1,第1章   活动物,601,澳大利亚,24463665.0
201612,2,第2章   肉及食用杂碎,142,中国,46575.0
201612,2,第2章   肉及食用杂碎,303,英国,9436815.0
201612,2,第2章   肉及食用杂碎,304,德国,84312973.0
201612,2,第2章   肉及食用杂碎,502,美国,92839303.0
201612,2,第2章   肉及食用杂碎,601,澳大利亚,73198998.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,880475.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,10390694.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,33938460.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,32685790.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,4881256.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,412534.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,7961695.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,20881432.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,17372114.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,8937157.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,15371829.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,411591.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,223,科特迪瓦,98648.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,1738711.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,231,毛里求斯,129138.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,559933.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,722852.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,1488230.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,7253137.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,881685.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,97189184.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,204565.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,72143.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,85618510.0
201612,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,11959490.0
201612,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,110,中国香港,53068.0
