数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202009,1,第1章   活动物,116,日本,237692.0
202009,1,第1章   活动物,143,中国台湾,48208.0
202009,1,第1章   活动物,304,德国,654573.0
202009,1,第1章   活动物,502,美国,323545.0
202009,1,第1章   活动物,601,澳大利亚,28128315.0
202009,2,第2章   肉及食用杂碎,136,泰国,30851208.0
202009,2,第2章   肉及食用杂碎,303,英国,34238576.0
202009,2,第2章   肉及食用杂碎,304,德国,102955209.0
202009,2,第2章   肉及食用杂碎,344,俄罗斯,33065702.0
202009,2,第2章   肉及食用杂碎,358,塞尔维亚,138543.0
202009,2,第2章   肉及食用杂碎,502,美国,260788452.0
202009,2,第2章   肉及食用杂碎,601,澳大利亚,108634342.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,500247.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,28801154.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,53955375.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,118358.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,15341853.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,21901795.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,1775539.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,15536482.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,16206840.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,126095911.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,4334608.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,12476470.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,2928252.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,8497.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,1009438.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,2627492.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,6548745.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,152332789.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,605732.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,250304.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,73089864.0
202009,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,54955067.0
202009,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,110,中国香港,11412.0
202009,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,46472326.0
202009,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,45352.0
202009,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,13296916.0
202009,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,1688565.0
