数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202210,1,第1章   活动物,116,日本,255995.0
202210,1,第1章   活动物,133,韩国,61.0
202210,1,第1章   活动物,143,中国台湾,16921.0
202210,1,第1章   活动物,304,德国,6482.0
202210,1,第1章   活动物,502,美国,224944.0
202210,1,第1章   活动物,601,澳大利亚,8724725.0
202210,2,第2章   肉及食用杂碎,136,泰国,41299839.0
202210,2,第2章   肉及食用杂碎,234,纳米比亚,359589.0
202210,2,第2章   肉及食用杂碎,303,英国,19084499.0
202210,2,第2章   肉及食用杂碎,344,俄罗斯,44108625.0
202210,2,第2章   肉及食用杂碎,358,塞尔维亚,705661.0
202210,2,第2章   肉及食用杂碎,502,美国,306910013.0
202210,2,第2章   肉及食用杂碎,601,澳大利亚,206754891.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,18993811.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,108969979.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,58123761.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,6002296.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,46695849.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,24912548.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,3058964.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,9592783.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,38083995.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,165358889.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,165564.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,8039899.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,21210.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,3011658.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,62888.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,1335337.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,243,索马里,834317.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,2616187.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,726085.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,274924764.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,42126.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,154211.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,176502.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,146029090.0
202210,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,27087064.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,25948560.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,52119.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,14967950.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,529353.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,624949.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,25660.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,142410.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,143,中国台湾,195749.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,145,哈萨克斯坦,77751.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,5868822.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,25896255.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,1252667.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,47981819.0
202210,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,39126421.0
202210,5,第5章   其他动物产品,111,印度,90401.0
202210,5,第5章   其他动物产品,112,印度尼西亚,673630.0
202210,5,第5章   其他动物产品,116,日本,230010.0
202210,5,第5章   其他动物产品,120,黎巴嫩,72490.0
202210,5,第5章   其他动物产品,122,马来西亚,232486.0
202210,5,第5章   其他动物产品,133,韩国,431587.0
202210,5,第5章   其他动物产品,136,泰国,4593540.0
202210,5,第5章   其他动物产品,141,越南,7177960.0
202210,5,第5章   其他动物产品,143,中国台湾,7658645.0
202210,5,第5章   其他动物产品,145,哈萨克斯坦,120000.0
202210,5,第5章   其他动物产品,206,喀麦隆,3070.0
202210,5,第5章   其他动物产品,230,毛里塔尼亚,15234.0
202210,5,第5章   其他动物产品,240,塞内加尔,41466.0
202210,5,第5章   其他动物产品,249,突尼斯,9955.0
202210,5,第5章   其他动物产品,303,英国,462060.0
202210,5,第5章   其他动物产品,304,德国,323532.0
202210,5,第5章   其他动物产品,344,俄罗斯,1297424.0
202210,5,第5章   其他动物产品,502,美国,50378706.0
202210,5,第5章   其他动物产品,601,澳大利亚,4256626.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,11505.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,112,印度尼西亚,40495.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,116,日本,966355.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,119,老挝,78368.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,122,马来西亚,15974.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,133,韩国,25027.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,136,泰国,1022256.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,141,越南,121610.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,143,中国台湾,21429.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,206,喀麦隆,3168.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,217,埃塞俄比亚,46845.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,223,科特迪瓦,129.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,304,德国,152590.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,502,美国,252926.0
202210,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,601,澳大利亚,148612.0
202210,7,第7章   食用蔬菜、根及块茎,111,印度,6615035.0
202210,7,第7章   食用蔬菜、根及块茎,112,印度尼西亚,3446221.0
202210,7,第7章   食用蔬菜、根及块茎,116,日本,4937.0
202210,7,第7章   食用蔬菜、根及块茎,119,老挝,12132.0
202210,7,第7章   食用蔬菜、根及块茎,122,马来西亚,89.0
202210,7,第7章   食用蔬菜、根及块茎,136,泰国,73621307.0
202210,7,第7章   食用蔬菜、根及块茎,141,越南,1203496.0
202210,7,第7章   食用蔬菜、根及块茎,142,中国,140708.0
202210,7,第7章   食用蔬菜、根及块茎,143,中国台湾,114025.0
202210,7,第7章   食用蔬菜、根及块茎,149,乌兹别克斯坦,4693962.0
202210,7,第7章   食用蔬菜、根及块茎,217,埃塞俄比亚,3398434.0
202210,7,第7章   食用蔬菜、根及块茎,303,英国,508929.0
202210,7,第7章   食用蔬菜、根及块茎,502,美国,1915802.0
202210,7,第7章   食用蔬菜、根及块茎,601,澳大利亚,5710988.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,112,印度尼西亚,24939206.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,113,伊朗,2174556.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,116,日本,1481352.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,119,老挝,2591021.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,122,马来西亚,10011582.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,133,韩国,4466479.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,136,泰国,232871576.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,141,越南,120839369.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,143,中国台湾,10414.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,149,乌兹别克斯坦,2856029.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,223,科特迪瓦,1525857.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,344,俄罗斯,15553681.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,502,美国,64716339.0
202210,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,601,澳大利亚,76211447.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,110,中国香港,49743.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,111,印度,66043287.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,112,印度尼西亚,15463644.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,113,伊朗,2262796.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,116,日本,1228527.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,119,老挝,570147.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,122,马来西亚,4752996.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,132,新加坡,51365.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,133,韩国,41531.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,135,叙利亚,1000.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,136,泰国,391812.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,141,越南,5664612.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,142,中国,49370.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,143,中国台湾,1487762.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,205,布隆迪,800068.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,217,埃塞俄比亚,20510760.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,231,毛里求斯,8451.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,303,英国,563843.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,304,德国,196929.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,337,格鲁吉亚,334820.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,344,俄罗斯,110999.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,351,克罗地亚,81.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,502,美国,1771871.0
202210,9,第9章   咖啡、茶、马黛茶及调味香料,601,澳大利亚,94153.0
202210,10,第10章  谷物,111,印度,34141241.0
202210,10,第10章  谷物,116,日本,172691.0
