数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202405,1,第1章   活动物,110,中国香港,2167262.0
202405,1,第1章   活动物,116,日本,537920.0
202405,1,第1章   活动物,119,老挝,26471.0
202405,1,第1章   活动物,133,韩国,216.0
202405,1,第1章   活动物,304,德国,917.0
202405,1,第1章   活动物,502,美国,6388377.0
202405,1,第1章   活动物,601,澳大利亚,11594367.0
202405,2,第2章   肉及食用杂碎,136,泰国,32372904.0
202405,2,第2章   肉及食用杂碎,149,乌兹别克斯坦,3409032.0
202405,2,第2章   肉及食用杂碎,234,纳米比亚,310015.0
202405,2,第2章   肉及食用杂碎,303,英国,15982549.0
202405,2,第2章   肉及食用杂碎,344,俄罗斯,51726339.0
202405,2,第2章   肉及食用杂碎,358,塞尔维亚,20117.0
202405,2,第2章   肉及食用杂碎,502,美国,214650144.0
202405,2,第2章   肉及食用杂碎,601,澳大利亚,167995650.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,19783014.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,88207448.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,69347897.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,8678023.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,18480235.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,2630814.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,26364047.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,27629012.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,90441058.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,244406.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,24604129.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,203003.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,6470842.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,237250.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,240,塞内加尔,2416869.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,303,英国,14506725.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,304,德国,3448296.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,344,俄罗斯,197480755.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,401,安提瓜和巴布达,70879.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,424,圭亚那,412080.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,441,苏里南,1069727.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,502,美国,76443094.0
202405,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,601,澳大利亚,10327800.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,112,印度尼西亚,30245255.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,116,日本,741.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,122,马来西亚,15194420.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,132,新加坡,378843.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,133,韩国,531896.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,136,泰国,187798.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,141,越南,2052848.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,145,哈萨克斯坦,631546.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,303,英国,4478846.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304,德国,16861023.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,344,俄罗斯,1520330.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,502,美国,27731321.0
202405,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,601,澳大利亚,57203326.0
202405,5,第5章   其他动物产品,111,印度,113934.0
202405,5,第5章   其他动物产品,112,印度尼西亚,524417.0
202405,5,第5章   其他动物产品,113,伊朗,7250.0
202405,5,第5章   其他动物产品,116,日本,370427.0
202405,5,第5章   其他动物产品,120,黎巴嫩,12600.0
202405,5,第5章   其他动物产品,122,马来西亚,92337.0
202405,5,第5章   其他动物产品,132,新加坡,98965.0
202405,5,第5章   其他动物产品,133,韩国,1774318.0
202405,5,第5章   其他动物产品,136,泰国,2174388.0
202405,5,第5章   其他动物产品,139,也门,13140.0
202405,5,第5章   其他动物产品,141,越南,5535823.0
202405,5,第5章   其他动物产品,142,中国,17837.0
202405,5,第5章   其他动物产品,143,中国台湾,14160501.0
202405,5,第5章   其他动物产品,145,哈萨克斯坦,556270.0
202405,5,第5章   其他动物产品,149,乌兹别克斯坦,3481345.0
202405,5,第5章   其他动物产品,206,喀麦隆,20468.0
202405,5,第5章   其他动物产品,230,毛里塔尼亚,165271.0
202405,5,第5章   其他动物产品,240,塞内加尔,42875.0
202405,5,第5章   其他动物产品,249,突尼斯,67454.0
202405,5,第5章   其他动物产品,303,英国,180507.0
202405,5,第5章   其他动物产品,304,德国,1370889.0
202405,5,第5章   其他动物产品,344,俄罗斯,2705402.0
202405,5,第5章   其他动物产品,502,美国,32631200.0
202405,5,第5章   其他动物产品,601,澳大利亚,4052106.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,111,印度,32885.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,112,印度尼西亚,153442.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,116,日本,1791167.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,119,老挝,25000.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,122,马来西亚,74254.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,133,韩国,5781.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,136,泰国,795715.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,141,越南,115969.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,143,中国台湾,73073.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,206,喀麦隆,1302.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,217,埃塞俄比亚,54959.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,223,科特迪瓦,153.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,303,英国,6644.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,304,德国,17681.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,502,美国,415384.0
202405,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,601,澳大利亚,183440.0
202405,7,第7章   食用蔬菜、根及块茎,111,印度,10538086.0
202405,7,第7章   食用蔬菜、根及块茎,116,日本,49108.0
202405,7,第7章   食用蔬菜、根及块茎,119,老挝,149259.0
202405,7,第7章   食用蔬菜、根及块茎,133,韩国,6599.0
202405,7,第7章   食用蔬菜、根及块茎,136,泰国,26832928.0
202405,7,第7章   食用蔬菜、根及块茎,141,越南,7706729.0
202405,7,第7章   食用蔬菜、根及块茎,142,中国,5072.0
202405,7,第7章   食用蔬菜、根及块茎,143,中国台湾,49660.0
202405,7,第7章   食用蔬菜、根及块茎,149,乌兹别克斯坦,4512118.0
202405,7,第7章   食用蔬菜、根及块茎,217,埃塞俄比亚,3956827.0
202405,7,第7章   食用蔬菜、根及块茎,303,英国,276866.0
202405,7,第7章   食用蔬菜、根及块茎,344,俄罗斯,17798572.0
202405,7,第7章   食用蔬菜、根及块茎,358,塞尔维亚,48596.0
202405,7,第7章   食用蔬菜、根及块茎,502,美国,3660157.0
202405,7,第7章   食用蔬菜、根及块茎,601,澳大利亚,18227841.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,111,印度,1959886.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,112,印度尼西亚,14565360.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,113,伊朗,6396032.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,119,老挝,6737591.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,122,马来西亚,10582071.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,136,泰国,1674757483.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,141,越南,382645330.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,142,中国,6713.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,143,中国台湾,351044.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,149,乌兹别克斯坦,271343.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,223,科特迪瓦,1270624.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,304,德国,12587.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,344,俄罗斯,343357.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,358,塞尔维亚,44900.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,502,美国,36770787.0
202405,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,601,澳大利亚,38470715.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,110,中国香港,40917.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,111,印度,82343367.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,112,印度尼西亚,10432468.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,113,伊朗,1591989.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,116,日本,387105.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,119,老挝,556.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,122,马来西亚,1354348.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,125,尼泊尔,3602.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,132,新加坡,460002.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,133,韩国,39020.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,136,泰国,584151.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,141,越南,10618560.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,142,中国,57290.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,143,中国台湾,1250142.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,150,格鲁吉亚,4327774.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,205,布隆迪,450848.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,217,埃塞俄比亚,10752942.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,303,英国,326371.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,304,德国,484867.0
202405,9,第9章   咖啡、茶、马黛茶及调味香料,344,俄罗斯,14051.0
