数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202604,1,第1章   活动物,110,中国香港,11493609.0
202604,1,第1章   活动物,116,日本,1626026.0
202604,1,第1章   活动物,133,韩国,161.0
202604,1,第1章   活动物,136,泰国,411000.0
202604,1,第1章   活动物,202,安哥拉,412864.0
202604,1,第1章   活动物,304,德国,2688.0
202604,1,第1章   活动物,502,美国,406277.0
202604,1,第1章   活动物,601,澳大利亚,1818589.0
202604,2,第2章   肉及食用杂碎,136,泰国,13105173.0
202604,2,第2章   肉及食用杂碎,142,中国,97122.0
202604,2,第2章   肉及食用杂碎,303,英国,18596577.0
202604,2,第2章   肉及食用杂碎,344,俄罗斯,60271755.0
202604,2,第2章   肉及食用杂碎,502,美国,64674248.0
202604,2,第2章   肉及食用杂碎,601,澳大利亚,411448473.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,110,中国香港,2460961.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,111,印度,107353887.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,112,印度尼西亚,57978808.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,113,伊朗,2956460.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,116,日本,72670.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,122,马来西亚,20003420.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,126,阿曼,2846538.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,132,新加坡,426776.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,133,韩国,26756838.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,136,泰国,22498285.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,141,越南,166047533.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,142,中国,306542.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,143,中国台湾,4349360.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,145,哈萨克斯坦,210328.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,212,科摩罗,14336.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,230,毛里塔尼亚,2016401.0
202604,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,234,纳米比亚,364833.0
