数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201602,1,第1章   活动物,124,蒙古,46080.0
201602,1,第1章   活动物,129,菲律宾,56077.0
201602,1,第1章   活动物,301,比利时,11047.0
201602,1,第1章   活动物,305,法国,67.0
201602,1,第1章   活动物,309,荷兰,444378.0
201602,1,第1章   活动物,315,奥地利,36.0
201602,1,第1章   活动物,326,挪威,487366.0
201602,2,第2章   肉及食用杂碎,124,蒙古,326400.0
201602,2,第2章   肉及食用杂碎,301,比利时,1815198.0
201602,2,第2章   肉及食用杂碎,305,法国,12458204.0
201602,2,第2章   肉及食用杂碎,306,爱尔兰,7207242.0
201602,2,第2章   肉及食用杂碎,307,意大利,6484.0
201602,2,第2章   肉及食用杂碎,309,荷兰,12074320.0
201602,2,第2章   肉及食用杂碎,312,西班牙,30984788.0
201602,2,第2章   肉及食用杂碎,321,匈牙利,3133362.0
201602,2,第2章   肉及食用杂碎,327,波兰,1662898.0
201602,2,第2章   肉及食用杂碎,410,巴西,119587198.0
201602,2,第2章   肉及食用杂碎,415,哥斯达黎加,474302.0
201602,2,第2章   肉及食用杂碎,444,乌拉圭,29316582.0
201602,2,第2章   肉及食用杂碎,501,加拿大,40870388.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,4389185.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,12210.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,124,蒙古,44350.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,1974727.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,3220218.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,567.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,273480.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,285312.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1853152.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1858181.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,714848.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,301,比利时,44213.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,1650105.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,513721.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,2000742.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,279874.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,14851888.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,7739318.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,298894.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,2024958.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,190479.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,43742458.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,2533952.0
201602,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,617,萨摩亚,85833.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,301,比利时,774661.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,305,法国,13076515.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,306,爱尔兰,2467969.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,307,意大利,749979.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,309,荷兰,4761105.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,310,希腊,49064.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,312,西班牙,1099462.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,315,奥地利,703648.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,318,芬兰,1213090.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,321,匈牙利,44471.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,326,挪威,3424.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,327,波兰,1822389.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,410,巴西,164653.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,429,墨西哥,77799.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,444,乌拉圭,1109413.0
201602,4,第4章   乳品;蛋品;天然蜂蜜;其他食用动物产品,501,加拿大,39978.0
201602,5,第5章   其他动物产品,109,朝鲜,7515.0
201602,5,第5章   其他动物产品,124,蒙古,1097.0
201602,5,第5章   其他动物产品,127,巴基斯坦,21153.0
201602,5,第5章   其他动物产品,129,菲律宾,65318.0
201602,5,第5章   其他动物产品,244,南非,127307.0
201602,5,第5章   其他动物产品,254,津巴布韦,123714.0
201602,5,第5章   其他动物产品,301,比利时,27809.0
201602,5,第5章   其他动物产品,305,法国,518482.0
201602,5,第5章   其他动物产品,306,爱尔兰,16854.0
