数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201605,1,第1章   活动物,124,蒙古,18100.0
201605,1,第1章   活动物,129,菲律宾,26491.0
201605,1,第1章   活动物,233,莫桑比克,24473.0
201605,1,第1章   活动物,244,南非,218084.0
201605,1,第1章   活动物,301,比利时,587363.0
201605,1,第1章   活动物,305,法国,291077.0
201605,1,第1章   活动物,307,意大利,2373.0
201605,1,第1章   活动物,309,荷兰,623819.0
201605,1,第1章   活动物,312,西班牙,656092.0
201605,1,第1章   活动物,315,奥地利,302.0
201605,1,第1章   活动物,326,挪威,48345.0
201605,2,第2章   肉及食用杂碎,124,蒙古,430170.0
201605,2,第2章   肉及食用杂碎,301,比利时,6219485.0
201605,2,第2章   肉及食用杂碎,305,法国,28287979.0
201605,2,第2章   肉及食用杂碎,306,爱尔兰,11584584.0
201605,2,第2章   肉及食用杂碎,307,意大利,12454.0
201605,2,第2章   肉及食用杂碎,309,荷兰,41045469.0
201605,2,第2章   肉及食用杂碎,312,西班牙,77052494.0
201605,2,第2章   肉及食用杂碎,321,匈牙利,11027655.0
201605,2,第2章   肉及食用杂碎,327,波兰,3858438.0
201605,2,第2章   肉及食用杂碎,410,巴西,161120162.0
201605,2,第2章   肉及食用杂碎,415,哥斯达黎加,367523.0
201605,2,第2章   肉及食用杂碎,444,乌拉圭,52852882.0
201605,2,第2章   肉及食用杂碎,501,加拿大,50604816.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,8063348.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,7684.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,4926823.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,3255900.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,259247.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,73580.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1435206.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1297286.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,1091844.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,2478189.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,2408405.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,1106940.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,479766.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,26017811.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,10295608.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,467419.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,2586310.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,199677.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,42354157.0
201605,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,6206206.0
