数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201607,1,第1章   活动物,124,蒙古,14400.0
201607,1,第1章   活动物,129,菲律宾,23486.0
201607,1,第1章   活动物,244,南非,559381.0
201607,1,第1章   活动物,301,比利时,133675.0
201607,1,第1章   活动物,305,法国,1120.0
201607,1,第1章   活动物,307,意大利,2907.0
201607,1,第1章   活动物,309,荷兰,1077773.0
201607,1,第1章   活动物,312,西班牙,1311147.0
201607,1,第1章   活动物,315,奥地利,10061.0
201607,1,第1章   活动物,444,乌拉圭,76980.0
201607,1,第1章   活动物,501,加拿大,399.0
201607,2,第2章   肉及食用杂碎,124,蒙古,4000.0
201607,2,第2章   肉及食用杂碎,301,比利时,7239474.0
201607,2,第2章   肉及食用杂碎,305,法国,34403526.0
201607,2,第2章   肉及食用杂碎,306,爱尔兰,15876952.0
201607,2,第2章   肉及食用杂碎,307,意大利,308580.0
201607,2,第2章   肉及食用杂碎,309,荷兰,51335816.0
201607,2,第2章   肉及食用杂碎,312,西班牙,78749454.0
201607,2,第2章   肉及食用杂碎,321,匈牙利,2266762.0
201607,2,第2章   肉及食用杂碎,327,波兰,2859288.0
201607,2,第2章   肉及食用杂碎,410,巴西,185016901.0
201607,2,第2章   肉及食用杂碎,415,哥斯达黎加,617768.0
201607,2,第2章   肉及食用杂碎,444,乌拉圭,49797114.0
201607,2,第2章   肉及食用杂碎,501,加拿大,67841060.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,109,朝鲜,33759489.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,16880.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,2853336.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,2998418.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,4545.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,183164.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,146451.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,101369.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1907005.0
201607,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,1298370.0
