数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201710,1,第1章   活动物,124,蒙古,87818.0
201710,1,第1章   活动物,129,菲律宾,20783.0
201710,1,第1章   活动物,244,南非,1728919.0
201710,1,第1章   活动物,301,比利时,229920.0
201710,1,第1章   活动物,305,法国,1099500.0
201710,1,第1章   活动物,309,荷兰,1351.0
201710,1,第1章   活动物,315,奥地利,136.0
201710,1,第1章   活动物,444,乌拉圭,51153.0
201710,1,第1章   活动物,501,加拿大,2130012.0
201710,2,第2章   肉及食用杂碎,124,蒙古,7859840.0
201710,2,第2章   肉及食用杂碎,244,南非,494908.0
201710,2,第2章   肉及食用杂碎,301,比利时,3471053.0
201710,2,第2章   肉及食用杂碎,305,法国,17283256.0
201710,2,第2章   肉及食用杂碎,306,爱尔兰,7037325.0
201710,2,第2章   肉及食用杂碎,307,意大利,374922.0
201710,2,第2章   肉及食用杂碎,309,荷兰,21652508.0
201710,2,第2章   肉及食用杂碎,312,西班牙,40014353.0
201710,2,第2章   肉及食用杂碎,318,芬兰,568486.0
201710,2,第2章   肉及食用杂碎,321,匈牙利,2444236.0
201710,2,第2章   肉及食用杂碎,410,巴西,143431196.0
201710,2,第2章   肉及食用杂碎,415,哥斯达黎加,1336433.0
201710,2,第2章   肉及食用杂碎,429,墨西哥,174188.0
201710,2,第2章   肉及食用杂碎,444,乌拉圭,49703660.0
201710,2,第2章   肉及食用杂碎,501,加拿大,30890674.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,21245.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,6988078.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,5499708.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,300732.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,172957.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,172347.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1130947.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,678873.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,320318.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,3043940.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,987718.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,2728651.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,1350277.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,316,保加利亚,178198.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,31871854.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,571208.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,9436940.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,1304573.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,3438945.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,271911.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,68236255.0
201710,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,9224336.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,4333.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,244,南非,68.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,2829343.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,26948217.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,4500934.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,2548125.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,10343120.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,57478.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,673421.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,315,奥地利,2017948.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,316,保加利亚,6129.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,318,芬兰,2164671.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,3478153.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,336,立陶宛,148385.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,340,白俄罗斯,713418.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,350,斯洛文尼亚,97567.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,410,巴西,429336.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,444,乌拉圭,253253.0
201710,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,112787.0
201710,5,第5章   其他动物产品,124,蒙古,42264.0
201710,5,第5章   其他动物产品,129,菲律宾,74507.0
201710,5,第5章   其他动物产品,244,南非,55172.0
201710,5,第5章   其他动物产品,250,乌干达,5634.0
201710,5,第5章   其他动物产品,301,比利时,75824.0
201710,5,第5章   其他动物产品,305,法国,1081891.0
201710,5,第5章   其他动物产品,306,爱尔兰,192410.0
201710,5,第5章   其他动物产品,307,意大利,38735.0
201710,5,第5章   其他动物产品,309,荷兰,2561861.0
201710,5,第5章   其他动物产品,310,希腊,1509.0
201710,5,第5章   其他动物产品,312,西班牙,3777175.0
201710,5,第5章   其他动物产品,316,保加利亚,1358.0
201710,5,第5章   其他动物产品,321,匈牙利,857270.0
201710,5,第5章   其他动物产品,327,波兰,403486.0
201710,5,第5章   其他动物产品,410,巴西,35150.0
201710,5,第5章   其他动物产品,444,乌拉圭,15293.0
201710,5,第5章   其他动物产品,501,加拿大,2901060.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,109,朝鲜,57606.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,137,土耳其,21.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,224,肯尼亚,305188.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,244,南非,466867.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,250,乌干达,175303.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,254,津巴布韦,14413.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,301,比利时,20391.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,305,法国,9449.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,306,爱尔兰,59.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,307,意大利,145817.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,309,荷兰,19575563.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,312,西班牙,6507.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,326,挪威,4091.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,327,波兰,8196.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,410,巴西,2244.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,415,哥斯达黎加,170795.0
201710,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,444,乌拉圭,52186.0
201710,7,第7章   食用蔬菜、根及块茎,109,朝鲜,1137580.0
201710,7,第7章   食用蔬菜、根及块茎,127,巴基斯坦,552400.0
201710,7,第7章   食用蔬菜、根及块茎,137,土耳其,1194.0
201710,7,第7章   食用蔬菜、根及块茎,301,比利时,15504.0
201710,7,第7章   食用蔬菜、根及块茎,305,法国,3509.0
201710,7,第7章   食用蔬菜、根及块茎,309,荷兰,37930.0
201710,7,第7章   食用蔬菜、根及块茎,327,波兰,32243.0
201710,7,第7章   食用蔬菜、根及块茎,359,黑山,17185.0
201710,7,第7章   食用蔬菜、根及块茎,429,墨西哥,107389.0
201710,7,第7章   食用蔬菜、根及块茎,501,加拿大,55042378.0
201710,7,第7章   食用蔬菜、根及块茎,614,汤加,118189.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,109,朝鲜,22737809.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,124,蒙古,2156480.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,127,巴基斯坦,11831369.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,129,菲律宾,36924174.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,137,土耳其,329855.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,138,阿联酋,30395.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,147,塔吉克斯坦,4650.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,224,肯尼亚,119921.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,244,南非,26764233.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,301,比利时,460911.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,305,法国,199739.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,307,意大利,92559.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,309,荷兰,264612.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,312,西班牙,861057.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,315,奥地利,1023.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,316,保加利亚,31780.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,318,芬兰,86279.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,327,波兰,370566.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,340,白俄罗斯,393.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,415,哥斯达黎加,2392613.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,429,墨西哥,1004723.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,444,乌拉圭,145262.0
201710,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,501,加拿大,1153919.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,137,土耳其,29527.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,138,阿联酋,116664.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,219,冈比亚,170520.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,224,肯尼亚,157804.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,227,马达加斯加,35742.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,233,莫桑比克,78137.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,244,南非,23495.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,301,比利时,106515.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,305,法国,50971.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,307,意大利,1263262.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,309,荷兰,16423.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,312,西班牙,98295.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,315,奥地利,7686.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,318,芬兰,7457.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,321,匈牙利,4290.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,327,波兰,181417.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,410,巴西,796926.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,415,哥斯达黎加,8433.0
201710,9,第9章   咖啡、茶、马黛茶及调味香料,427,牙买加,78115.0
