数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201810,1,第1章   活动物,124,蒙古,18200.0
201810,1,第1章   活动物,129,菲律宾,22348.0
201810,1,第1章   活动物,220,加纳,43330.0
201810,1,第1章   活动物,244,南非,213148.0
201810,1,第1章   活动物,301,比利时,1130793.0
201810,1,第1章   活动物,305,法国,3227.0
201810,1,第1章   活动物,309,荷兰,1035639.0
201810,1,第1章   活动物,312,西班牙,700.0
201810,1,第1章   活动物,315,奥地利,686.0
201810,1,第1章   活动物,444,乌拉圭,5570120.0
201810,1,第1章   活动物,501,加拿大,111599.0
201810,2,第2章   肉及食用杂碎,124,蒙古,6628915.0
201810,2,第2章   肉及食用杂碎,244,南非,1881265.0
201810,2,第2章   肉及食用杂碎,301,比利时,2364806.0
201810,2,第2章   肉及食用杂碎,305,法国,18024272.0
201810,2,第2章   肉及食用杂碎,306,爱尔兰,7964838.0
201810,2,第2章   肉及食用杂碎,307,意大利,143223.0
201810,2,第2章   肉及食用杂碎,309,荷兰,20911608.0
201810,2,第2章   肉及食用杂碎,312,西班牙,37842198.0
201810,2,第2章   肉及食用杂碎,315,奥地利,263537.0
201810,2,第2章   肉及食用杂碎,318,芬兰,593528.0
201810,2,第2章   肉及食用杂碎,327,波兰,7879.0
201810,2,第2章   肉及食用杂碎,340,白俄罗斯,91757.0
201810,2,第2章   肉及食用杂碎,410,巴西,260969065.0
201810,2,第2章   肉及食用杂碎,415,哥斯达黎加,1554672.0
201810,2,第2章   肉及食用杂碎,429,墨西哥,366958.0
201810,2,第2章   肉及食用杂碎,444,乌拉圭,60499662.0
201810,2,第2章   肉及食用杂碎,501,加拿大,37972265.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,4251.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,10197524.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,6668574.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1038861.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,275830.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,967662.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1514649.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1968025.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,760337.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,205871.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,6047700.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,2946687.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,2746942.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,2774070.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,34795029.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,181883.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,9502317.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,4289059.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,427,牙买加,194654.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,29318941.0
201810,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,292738.0
