数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201807,1,第1章   活动物,124,蒙古,35100.0
201807,1,第1章   活动物,129,菲律宾,23447.0
201807,1,第1章   活动物,244,南非,2009669.0
201807,1,第1章   活动物,252,刚果民主共和国,7523.0
201807,1,第1章   活动物,301,比利时,73202.0
201807,1,第1章   活动物,305,法国,4145.0
201807,1,第1章   活动物,306,爱尔兰,3659.0
201807,1,第1章   活动物,309,荷兰,899866.0
201807,1,第1章   活动物,315,奥地利,690.0
201807,1,第1章   活动物,327,波兰,332241.0
201807,1,第1章   活动物,429,墨西哥,6519.0
201807,1,第1章   活动物,444,乌拉圭,13468015.0
201807,2,第2章   肉及食用杂碎,124,蒙古,2413560.0
201807,2,第2章   肉及食用杂碎,244,南非,2143337.0
201807,2,第2章   肉及食用杂碎,301,比利时,2356358.0
201807,2,第2章   肉及食用杂碎,305,法国,17491787.0
201807,2,第2章   肉及食用杂碎,306,爱尔兰,5739105.0
201807,2,第2章   肉及食用杂碎,307,意大利,303751.0
201807,2,第2章   肉及食用杂碎,309,荷兰,23825230.0
201807,2,第2章   肉及食用杂碎,312,西班牙,38304648.0
201807,2,第2章   肉及食用杂碎,318,芬兰,629805.0
201807,2,第2章   肉及食用杂碎,321,匈牙利,62113.0
201807,2,第2章   肉及食用杂碎,340,白俄罗斯,97430.0
201807,2,第2章   肉及食用杂碎,410,巴西,222340843.0
201807,2,第2章   肉及食用杂碎,415,哥斯达黎加,2089128.0
201807,2,第2章   肉及食用杂碎,429,墨西哥,174658.0
201807,2,第2章   肉及食用杂碎,444,乌拉圭,56676033.0
201807,2,第2章   肉及食用杂碎,501,加拿大,39841799.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,13189.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,5600237.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,9581726.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1867518.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,91577.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,276754.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,1187096.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1210110.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,2573373.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,10927354.0
201807,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,3567757.0
