数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202204,1,第1章   活动物,309,荷兰,682623.0
202204,1,第1章   活动物,315,奥地利,2375.0
202204,1,第1章   活动物,318,芬兰,4361.0
202204,1,第1章   活动物,501,加拿大,6660.0
202204,2,第2章   肉及食用杂碎,137,土耳其,3943559.0
202204,2,第2章   肉及食用杂碎,244,南非,1315589.0
202204,2,第2章   肉及食用杂碎,305,法国,38187071.0
202204,2,第2章   肉及食用杂碎,306,爱尔兰,13287031.0
202204,2,第2章   肉及食用杂碎,307,意大利,967069.0
202204,2,第2章   肉及食用杂碎,309,荷兰,42944073.0
202204,2,第2章   肉及食用杂碎,312,西班牙,132543234.0
202204,2,第2章   肉及食用杂碎,315,奥地利,2489352.0
202204,2,第2章   肉及食用杂碎,318,芬兰,1555687.0
202204,2,第2章   肉及食用杂碎,321,匈牙利,941380.0
202204,2,第2章   肉及食用杂碎,340,白俄罗斯,20560193.0
202204,2,第2章   肉及食用杂碎,408,玻利维亚 ,3042770.0
202204,2,第2章   肉及食用杂碎,410,巴西,729281033.0
202204,2,第2章   肉及食用杂碎,415,哥斯达黎加,6925769.0
202204,2,第2章   肉及食用杂碎,429,墨西哥,3999624.0
202204,2,第2章   肉及食用杂碎,444,乌拉圭,158363973.0
202204,2,第2章   肉及食用杂碎,501,加拿大,25586616.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,12577375.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,3059344.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,82541.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,490101.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,123066.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1215725.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,3552072.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,1297667.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,5272923.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,1042534.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,6430599.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,64873294.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,178420.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,8588916.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,2053030.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,4358677.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,805767.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,56692107.0
202204,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,18680014.0
202204,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,986638.0
202204,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,5500645.0
202204,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,39517622.0
202204,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,8315775.0
202204,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,6164665.0
202204,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,20087234.0
