数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202512,1,第1章   活动物,305,法国,9782324.0
202512,1,第1章   活动物,309,荷兰,742720.0
202512,1,第1章   活动物,501,加拿大,1497.0
202512,2,第2章   肉及食用杂碎,124,蒙古,152751.0
202512,2,第2章   肉及食用杂碎,227,马达加斯加,324927.0
202512,2,第2章   肉及食用杂碎,301,比利时,320111.0
202512,2,第2章   肉及食用杂碎,305,法国,16135737.0
202512,2,第2章   肉及食用杂碎,306,爱尔兰,6326775.0
202512,2,第2章   肉及食用杂碎,309,荷兰,20246353.0
202512,2,第2章   肉及食用杂碎,312,西班牙,62629957.0
202512,2,第2章   肉及食用杂碎,315,奥地利,507223.0
202512,2,第2章   肉及食用杂碎,318,芬兰,2306472.0
202512,2,第2章   肉及食用杂碎,340,白俄罗斯,8393578.0
202512,2,第2章   肉及食用杂碎,408,玻利维亚 ,27933343.0
202512,2,第2章   肉及食用杂碎,410,巴西,758409432.0
202512,2,第2章   肉及食用杂碎,415,哥斯达黎加,1955412.0
202512,2,第2章   肉及食用杂碎,431,尼加拉瓜,330614.0
202512,2,第2章   肉及食用杂碎,444,乌拉圭,72007169.0
202512,2,第2章   肉及食用杂碎,501,加拿大,17403880.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,28927.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,23798857.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,9377802.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,512698.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,333293.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,2055172.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,48246.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,2407289.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,1910112.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,6357325.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,3776571.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,307,意大利,364577.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,4788263.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,20201.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,11324314.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,143798934.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,412330.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,18544347.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,6239107.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,21704162.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,431,尼加拉瓜,3029364.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,1271741.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,59168522.0
202512,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,64468036.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,127,巴基斯坦,223759.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,1787595.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,138,阿联酋,38490.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,301,比利时,2634857.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,305,法国,29611920.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,306,爱尔兰,7836795.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,307,意大利,8839151.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,309,荷兰,29303148.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,310,希腊,156048.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,312,西班牙,3293038.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,315,奥地利,1928439.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,318,芬兰,3056785.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,327,波兰,10373139.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,340,白俄罗斯,6843113.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,410,巴西,1543520.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,444,乌拉圭,1107076.0
202512,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,501,加拿大,95430.0
202512,5,第5章   其他动物产品,109,朝鲜,39680.0
202512,5,第5章   其他动物产品,124,蒙古,440172.0
202512,5,第5章   其他动物产品,127,巴基斯坦,4376513.0
202512,5,第5章   其他动物产品,129,菲律宾,228790.0
202512,5,第5章   其他动物产品,220,加纳,5613.0
202512,5,第5章   其他动物产品,227,马达加斯加,10911.0
202512,5,第5章   其他动物产品,244,南非,537183.0
202512,5,第5章   其他动物产品,305,法国,1562845.0
202512,5,第5章   其他动物产品,306,爱尔兰,241765.0
202512,5,第5章   其他动物产品,307,意大利,234385.0
202512,5,第5章   其他动物产品,309,荷兰,8229352.0
202512,5,第5章   其他动物产品,310,希腊,49609.0
202512,5,第5章   其他动物产品,312,西班牙,4179222.0
202512,5,第5章   其他动物产品,321,匈牙利,788634.0
202512,5,第5章   其他动物产品,327,波兰,1334843.0
202512,5,第5章   其他动物产品,340,白俄罗斯,9452.0
202512,5,第5章   其他动物产品,410,巴西,36861.0
202512,5,第5章   其他动物产品,444,乌拉圭,4002401.0
202512,5,第5章   其他动物产品,501,加拿大,1725790.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,137,土耳其,13242.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,224,肯尼亚,146702.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,227,马达加斯加,1128.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,244,南非,274521.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,250,乌干达,16846.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,254,津巴布韦,24891.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,301,比利时,134260.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,305,法国,177647.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,307,意大利,19370.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,309,荷兰,27178011.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,312,西班牙,706258.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,321,匈牙利,8089.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,327,波兰,95653.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,410,巴西,76881.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,415,哥斯达黎加,47454.0
202512,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,429,墨西哥,4551.0
202512,7,第7章   食用蔬菜、根及块茎,137,土耳其,996852.0
202512,7,第7章   食用蔬菜、根及块茎,305,法国,54304.0
202512,7,第7章   食用蔬菜、根及块茎,312,西班牙,129140.0
202512,7,第7章   食用蔬菜、根及块茎,321,匈牙利,61197.0
202512,7,第7章   食用蔬菜、根及块茎,501,加拿大,6950084.0
202512,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,127,巴基斯坦,1647749.0
