数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202504,1,第1章   活动物,305,法国,3302559.0
202504,1,第1章   活动物,309,荷兰,3566514.0
202504,1,第1章   活动物,315,奥地利,1288.0
202504,2,第2章   肉及食用杂碎,124,蒙古,1091370.0
202504,2,第2章   肉及食用杂碎,244,南非,1234757.0
202504,2,第2章   肉及食用杂碎,301,比利时,3311518.0
202504,2,第2章   肉及食用杂碎,305,法国,19592900.0
202504,2,第2章   肉及食用杂碎,306,爱尔兰,8573731.0
202504,2,第2章   肉及食用杂碎,309,荷兰,33689890.0
202504,2,第2章   肉及食用杂碎,312,西班牙,67900925.0
202504,2,第2章   肉及食用杂碎,315,奥地利,892579.0
202504,2,第2章   肉及食用杂碎,318,芬兰,1501487.0
202504,2,第2章   肉及食用杂碎,340,白俄罗斯,7974072.0
202504,2,第2章   肉及食用杂碎,408,玻利维亚 ,53288175.0
202504,2,第2章   肉及食用杂碎,410,巴西,594680333.0
202504,2,第2章   肉及食用杂碎,415,哥斯达黎加,2276464.0
202504,2,第2章   肉及食用杂碎,431,尼加拉瓜,206186.0
202504,2,第2章   肉及食用杂碎,444,乌拉圭,66519099.0
202504,2,第2章   肉及食用杂碎,501,加拿大,28279243.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,123,马尔代夫,523.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,17713651.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,6381878.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,973673.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,129743.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,1642530.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,116364.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,2332539.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,2277012.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,688048.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,6670414.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,6579461.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,1832214.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,28549.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,8700225.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,98329544.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,12037328.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,1721338.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,4645810.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,431,尼加拉瓜,4041178.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,2606077.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,501,加拿大,52534871.0
202504,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,503,格陵兰,25569051.0
202504,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,124,蒙古,903.0
202504,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,127,巴基斯坦,1263402.0
202504,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,137,土耳其,1569132.0
