数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202508,1,第1章   活动物,124,蒙古,173914.0
202508,1,第1章   活动物,301,比利时,980623.0
202508,1,第1章   活动物,305,法国,6432617.0
202508,1,第1章   活动物,309,荷兰,1674733.0
202508,2,第2章   肉及食用杂碎,124,蒙古,1398720.0
202508,2,第2章   肉及食用杂碎,227,马达加斯加,147212.0
202508,2,第2章   肉及食用杂碎,301,比利时,4031154.0
202508,2,第2章   肉及食用杂碎,305,法国,25015878.0
202508,2,第2章   肉及食用杂碎,306,爱尔兰,9420953.0
202508,2,第2章   肉及食用杂碎,309,荷兰,29938304.0
202508,2,第2章   肉及食用杂碎,312,西班牙,110046868.0
202508,2,第2章   肉及食用杂碎,315,奥地利,829298.0
202508,2,第2章   肉及食用杂碎,318,芬兰,2640471.0
202508,2,第2章   肉及食用杂碎,340,白俄罗斯,9847083.0
202508,2,第2章   肉及食用杂碎,408,玻利维亚 ,32686730.0
202508,2,第2章   肉及食用杂碎,410,巴西,815075773.0
202508,2,第2章   肉及食用杂碎,415,哥斯达黎加,3643573.0
202508,2,第2章   肉及食用杂碎,431,尼加拉瓜,301037.0
202508,2,第2章   肉及食用杂碎,444,乌拉圭,96192828.0
202508,2,第2章   肉及食用杂碎,501,加拿大,20666291.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,127,巴基斯坦,13286705.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,129,菲律宾,8563551.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,137,土耳其,1903581.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,220,加纳,54216.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,224,肯尼亚,791356.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,227,马达加斯加,455600.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,233,莫桑比克,1314770.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,244,南非,220577.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,250,乌干达,643800.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,305,法国,7847871.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,306,爱尔兰,4054615.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,309,荷兰,4163923.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,310,希腊,93577.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,312,西班牙,10429635.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,326,挪威,128887729.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,327,波兰,2206644.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,357,法罗群岛,14206442.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,410,巴西,5706383.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,429,墨西哥,6553284.0
202508,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,444,乌拉圭,3305571.0
