数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201804,1,第1章   活动物,146,吉尔吉斯斯坦,270000.0
201804,1,第1章   活动物,229,马里,1102.0
201804,1,第1章   活动物,246,苏丹,109628.0
201804,1,第1章   活动物,253,赞比亚,5217.0
201804,1,第1章   活动物,331,瑞士,2519.0
201804,1,第1章   活动物,352,捷克,41276.0
201804,1,第1章   活动物,353,斯洛伐克,18712.0
201804,1,第1章   活动物,402,阿根廷,200600.0
201804,1,第1章   活动物,434,秘鲁,167099.0
201804,1,第1章   活动物,609,新西兰,8066089.0
201804,2,第2章   肉及食用杂碎,302,丹麦,32078315.0
201804,2,第2章   肉及食用杂碎,402,阿根廷,54350359.0
201804,2,第2章   肉及食用杂碎,412,智利,15062333.0
201804,2,第2章   肉及食用杂碎,609,新西兰,128012480.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,7495035.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,1529466.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,107,柬埔寨,65278.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,125000.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,114814.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,76531.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,228,马拉维,828.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,440764.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,1631.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,372543.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1667244.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,1165308.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,5969749.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,1635263.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,33800786.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,33290703.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,53843.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,1749606.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,36691672.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,5340016.0
201804,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,300062.0
