数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201901,1,第1章   活动物,146,吉尔吉斯斯坦,472500.0
201901,1,第1章   活动物,229,马里,303792.0
201901,1,第1章   活动物,311,葡萄牙,154386.0
201901,1,第1章   活动物,330,瑞典,1775.0
201901,1,第1章   活动物,331,瑞士,66.0
201901,1,第1章   活动物,353,斯洛伐克,21029.0
201901,1,第1章   活动物,434,秘鲁,138433.0
201901,1,第1章   活动物,609,新西兰,1813961.0
201901,2,第2章   肉及食用杂碎,302,丹麦,39886968.0
201901,2,第2章   肉及食用杂碎,402,阿根廷,117244217.0
201901,2,第2章   肉及食用杂碎,412,智利,17746955.0
201901,2,第2章   肉及食用杂碎,609,新西兰,175463500.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,8502187.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,123455.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,2709298.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,115,以色列,3611.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,120657986.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,476296.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,214,吉布提,414.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,6860.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,453038.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,8278123.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,958459.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,9530176.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,1252912.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,411712.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,33837529.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,64099594.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,12008.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,8384002.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,418,多米尼加 ,1008.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,126900985.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,16432.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,3808291.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,602,库克群岛,280742.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,603,斐济,91008.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,32988394.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,94516.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,146,吉尔吉斯斯坦,209824.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,215,埃及,502.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,253,赞比亚,69120.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,4866122.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,308,卢森堡,90996.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,26599.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,29.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,2527003.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,1588873.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,252323.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,2504687.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,426262.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,5909583.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,2428388.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,784349901.0
201901,5,第5章   其他动物产品,103,孟加拉国,182274.0
201901,5,第5章   其他动物产品,121,中国澳门,140.0
201901,5,第5章   其他动物产品,146,吉尔吉斯斯坦,27281.0
201901,5,第5章   其他动物产品,232,摩洛哥,139577.0
201901,5,第5章   其他动物产品,236,尼日利亚,26535.0
201901,5,第5章   其他动物产品,246,苏丹,4112.0
201901,5,第5章   其他动物产品,247,坦桑尼亚,84801.0
201901,5,第5章   其他动物产品,302,丹麦,1541740.0
201901,5,第5章   其他动物产品,322,冰岛,106873.0
201901,5,第5章   其他动物产品,330,瑞典,93.0
201901,5,第5章   其他动物产品,347,乌克兰,2567990.0
201901,5,第5章   其他动物产品,352,捷克,23200.0
201901,5,第5章   其他动物产品,402,阿根廷,16309.0
201901,5,第5章   其他动物产品,412,智利,349887.0
201901,5,第5章   其他动物产品,413,哥伦比亚,35000.0
201901,5,第5章   其他动物产品,426,洪都拉斯,27482.0
201901,5,第5章   其他动物产品,433,巴拉圭,53811.0
201901,5,第5章   其他动物产品,609,新西兰,10208900.0
201901,5,第5章   其他动物产品,623,法属波利尼西亚,149633.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,43436.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,134,斯里兰卡,1055.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,228,马拉维,804.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,47857.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,253,赞比亚,140.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,11221.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,140649.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,347,乌克兰,398.0
