数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
201902,1,第1章   活动物,229,马里,119156.0
201902,1,第1章   活动物,352,捷克,31795.0
201902,1,第1章   活动物,353,斯洛伐克,12672.0
201902,1,第1章   活动物,434,秘鲁,215087.0
201902,1,第1章   活动物,609,新西兰,2631371.0
201902,2,第2章   肉及食用杂碎,302,丹麦,14581561.0
201902,2,第2章   肉及食用杂碎,402,阿根廷,100757405.0
201902,2,第2章   肉及食用杂碎,412,智利,17734535.0
201902,2,第2章   肉及食用杂碎,609,新西兰,136568857.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,5525071.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,1896551.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,15084553.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,213908.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,25296.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,490629.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,303748.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1150811.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,1268847.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,3824969.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,536900.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,23581261.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,27318340.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,18308.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,1771028.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,72008869.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,35813.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,2968832.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,602,库克群岛,39497.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,29642492.0
201902,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,241368.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,6003843.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,308,卢森堡,133929.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,250.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,328,罗马尼亚,7.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,2271351.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,367475.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,967249.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,557500.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,167420.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,2522882.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,791351.0
201902,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,235422243.0
201902,5,第5章   其他动物产品,103,孟加拉国,134564.0
201902,5,第5章   其他动物产品,232,摩洛哥,35318.0
201902,5,第5章   其他动物产品,236,尼日利亚,9592.0
201902,5,第5章   其他动物产品,247,坦桑尼亚,112938.0
201902,5,第5章   其他动物产品,302,丹麦,398991.0
201902,5,第5章   其他动物产品,347,乌克兰,234929.0
201902,5,第5章   其他动物产品,352,捷克,324027.0
201902,5,第5章   其他动物产品,402,阿根廷,18639.0
201902,5,第5章   其他动物产品,413,哥伦比亚,10239.0
201902,5,第5章   其他动物产品,419,厄瓜多尔,22736.0
201902,5,第5章   其他动物产品,426,洪都拉斯,35607.0
201902,5,第5章   其他动物产品,433,巴拉圭,53811.0
201902,5,第5章   其他动物产品,609,新西兰,9992957.0
201902,5,第5章   其他动物产品,623,法属波利尼西亚,60314.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,57760.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,215,埃及,109.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,43858.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,5390.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,55870.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,412,智利,41718.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,215266.0
201902,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,419,厄瓜多尔,2531021.0
