数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202111,1,第1章   活动物,302,丹麦,18916.0
202111,1,第1章   活动物,331,瑞士,235.0
202111,1,第1章   活动物,402,阿根廷,327350.0
202111,1,第1章   活动物,412,智利,447150.0
202111,1,第1章   活动物,609,新西兰,400589.0
202111,2,第2章   肉及食用杂碎,302,丹麦,67341651.0
202111,2,第2章   肉及食用杂碎,311,葡萄牙,1606432.0
202111,2,第2章   肉及食用杂碎,331,瑞士,1376297.0
202111,2,第2章   肉及食用杂碎,347,乌克兰,5779450.0
202111,2,第2章   肉及食用杂碎,402,阿根廷,223130826.0
202111,2,第2章   肉及食用杂碎,412,智利,31615512.0
202111,2,第2章   肉及食用杂碎,432,巴拿马,1271575.0
202111,2,第2章   肉及食用杂碎,609,新西兰,167976012.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,1682239.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,15877625.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,8002279.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,1293138.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,27380.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,250081.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,4895.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,978176.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1956667.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,3850721.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,6639164.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,1168880.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,335,拉脱维亚,118142.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,30462064.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,27221430.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,48221.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,5684428.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,311577317.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,28567.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,23172387.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,802201.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,602,库克群岛,659014.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,317840.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,48926007.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,74006.0
202111,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,1472407.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,215,埃及,74788.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,12924919.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,95085.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,5444312.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,674211.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,279999.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,448425.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,678902.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,3461506.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,743049.0
202111,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,414104484.0
202111,5,第5章   其他动物产品,103,孟加拉国,168441.0
202111,5,第5章   其他动物产品,106,缅甸,22868.0
202111,5,第5章   其他动物产品,146,吉尔吉斯斯坦,38183.0
202111,5,第5章   其他动物产品,215,埃及,27923.0
202111,5,第5章   其他动物产品,229,马里,1430.0
202111,5,第5章   其他动物产品,232,摩洛哥,38142.0
202111,5,第5章   其他动物产品,236,尼日利亚,39576.0
202111,5,第5章   其他动物产品,247,坦桑尼亚,42629.0
202111,5,第5章   其他动物产品,302,丹麦,2508346.0
