数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202102,1,第1章   活动物,302,丹麦,5782.0
202102,1,第1章   活动物,311,葡萄牙,4388910.0
202102,1,第1章   活动物,353,斯洛伐克,821.0
202102,1,第1章   活动物,609,新西兰,13747041.0
202102,2,第2章   肉及食用杂碎,302,丹麦,83795172.0
202102,2,第2章   肉及食用杂碎,311,葡萄牙,5297666.0
202102,2,第2章   肉及食用杂碎,331,瑞士,616068.0
202102,2,第2章   肉及食用杂碎,347,乌克兰,966541.0
202102,2,第2章   肉及食用杂碎,402,阿根廷,154540994.0
202102,2,第2章   肉及食用杂碎,412,智利,58458168.0
202102,2,第2章   肉及食用杂碎,432,巴拿马,492523.0
202102,2,第2章   肉及食用杂碎,609,新西兰,175268348.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,139125.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,4679594.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,131,沙特阿拉伯,126949.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,654931.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,108500.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,6834.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,704561.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,692640.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,1558563.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,2335895.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,867783.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,3131063.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,5503481.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,49602.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,662800.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,110082751.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,73904.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,10589702.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,661460.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,30967764.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,438074.0
202102,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,732491.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,5582280.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,121212.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,330,瑞典,1392688.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,1203100.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,958937.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,638987.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,84842.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,3089804.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,385523.0
202102,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,293828489.0
202102,5,第5章   其他动物产品,103,孟加拉国,17085.0
202102,5,第5章   其他动物产品,215,埃及,8480.0
202102,5,第5章   其他动物产品,247,坦桑尼亚,43670.0
202102,5,第5章   其他动物产品,302,丹麦,2513441.0
202102,5,第5章   其他动物产品,347,乌克兰,237711.0
202102,5,第5章   其他动物产品,352,捷克,617632.0
202102,5,第5章   其他动物产品,413,哥伦比亚,9884.0
202102,5,第5章   其他动物产品,419,厄瓜多尔,19558.0
202102,5,第5章   其他动物产品,609,新西兰,8481338.0
202102,5,第5章   其他动物产品,623,法属波利尼西亚,50782.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,101997.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,34319.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,302,丹麦,305.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,196459.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,328,罗马尼亚,127.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,412,智利,192862.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,198349.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,419,厄瓜多尔,868688.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,423,危地马拉,642.0
202102,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,609,新西兰,30167.0
202102,7,第7章   食用蔬菜、根及块茎,106,缅甸,1855769.0
202102,7,第7章   食用蔬菜、根及块茎,215,埃及,4314.0
202102,7,第7章   食用蔬菜、根及块茎,347,乌克兰,120225.0
202102,7,第7章   食用蔬菜、根及块茎,609,新西兰,1548288.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,101,阿富汗,2177235.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,106,缅甸,8113.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,107,柬埔寨,19339938.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,114,伊拉克,290665.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,115,以色列,494015.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,131,沙特阿拉伯,65227.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,134,斯里兰卡,357.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,146,吉尔吉斯斯坦,16260.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,215,埃及,865615.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,248,多哥,33600.0
202102,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,302,丹麦,10.0
