数据年月,商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,美元
202406,1,第1章   活动物,121,中国澳门,34000.0
202406,1,第1章   活动物,146,吉尔吉斯斯坦,201000.0
202406,1,第1章   活动物,330,瑞典,840.0
202406,1,第1章   活动物,331,瑞士,88.0
202406,1,第1章   活动物,412,智利,1865529.0
202406,1,第1章   活动物,609,新西兰,2340627.0
202406,2,第2章   肉及食用杂碎,302,丹麦,27846340.0
202406,2,第2章   肉及食用杂碎,311,葡萄牙,746647.0
202406,2,第2章   肉及食用杂碎,331,瑞士,584854.0
202406,2,第2章   肉及食用杂碎,347,乌克兰,2077494.0
202406,2,第2章   肉及食用杂碎,402,阿根廷,164217080.0
202406,2,第2章   肉及食用杂碎,412,智利,23427280.0
202406,2,第2章   肉及食用杂碎,413,哥伦比亚,4684.0
202406,2,第2章   肉及食用杂碎,432,巴拿马,531642.0
202406,2,第2章   肉及食用杂碎,609,新西兰,109120205.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,103,孟加拉国,7981214.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,105,文莱,135245.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,106,缅甸,17726721.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,134,斯里兰卡,543100.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,215,埃及,11668.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,232,摩洛哥,269727.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,236,尼日利亚,11783.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,247,坦桑尼亚,4463846.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,302,丹麦,1390881.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,311,葡萄牙,4371557.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,322,冰岛,9578214.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,334,爱沙尼亚,2751449.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,402,阿根廷,41827087.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,412,智利,29710599.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,413,哥伦比亚,63869.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,416,古巴,6319955.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,419,厄瓜多尔,289173715.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,432,巴拿马,16920.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,434,秘鲁,7347922.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,445,委内瑞拉,2091893.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,608,瓦努阿图,1698233.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,609,新西兰,39220390.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,611,巴布亚新几内亚,493092.0
202406,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,620,密克罗尼西亚联邦,16839249.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,146,吉尔吉斯斯坦,29168.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,302,丹麦,9378883.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,311,葡萄牙,270.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,331,瑞士,653720.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,334,爱沙尼亚,346430.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,347,乌克兰,525500.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,352,捷克,153828.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,353,斯洛伐克,2401.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,402,阿根廷,1649339.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,412,智利,368031.0
202406,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,609,新西兰,345148795.0
202406,5,第5章   其他动物产品,103,孟加拉国,188778.0
202406,5,第5章   其他动物产品,106,缅甸,1215713.0
202406,5,第5章   其他动物产品,146,吉尔吉斯斯坦,29559.0
202406,5,第5章   其他动物产品,215,埃及,83532.0
202406,5,第5章   其他动物产品,232,摩洛哥,24772.0
202406,5,第5章   其他动物产品,236,尼日利亚,100917.0
202406,5,第5章   其他动物产品,247,坦桑尼亚,71296.0
202406,5,第5章   其他动物产品,302,丹麦,2324348.0
202406,5,第5章   其他动物产品,322,冰岛,76210.0
202406,5,第5章   其他动物产品,343,摩尔多瓦,150450.0
202406,5,第5章   其他动物产品,347,乌克兰,752490.0
202406,5,第5章   其他动物产品,419,厄瓜多尔,22166.0
202406,5,第5章   其他动物产品,609,新西兰,11375390.0
202406,5,第5章   其他动物产品,613,所罗门群岛,1505.0
202406,5,第5章   其他动物产品,623,法属波利尼西亚,32748.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,115,以色列,27199.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,247,坦桑尼亚,58500.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,311,葡萄牙,2417.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,347,乌克兰,1125.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,413,哥伦比亚,540471.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,419,厄瓜多尔,173280.0
202406,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,609,新西兰,429894.0
202406,7,第7章   食用蔬菜、根及块茎,106,缅甸,44651247.0
202406,7,第7章   食用蔬菜、根及块茎,107,柬埔寨,535451.0
202406,7,第7章   食用蔬菜、根及块茎,215,埃及,40.0
202406,7,第7章   食用蔬菜、根及块茎,236,尼日利亚,4089.0
202406,7,第7章   食用蔬菜、根及块茎,402,阿根廷,369.0
202406,7,第7章   食用蔬菜、根及块茎,412,智利,1214.0
202406,7,第7章   食用蔬菜、根及块茎,609,新西兰,4774409.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,101,阿富汗,205673.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,106,缅甸,2160645.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,107,柬埔寨,10696114.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,114,伊拉克,78400.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,115,以色列,19450.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,131,沙特阿拉伯,39457.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,134,斯里兰卡,24037.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,146,吉尔吉斯斯坦,265092.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,215,埃及,18762613.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,247,坦桑尼亚,1007032.0
202406,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,248,多哥,555265.0
