数据年月,商品编码,商品名称,人民币
201801,1,第1章   活动物,70379507.0
201801,2,第2章   肉及食用杂碎,401239266.0
201801,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,9191680230.0
201801,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,365575690.0
201801,5,第5章   其他动物产品,1376473565.0
201801,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,212331082.0
201801,7,第7章   食用蔬菜、根及块茎,5600631537.0
201801,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,3313739334.0
201801,9,第9章   咖啡、茶、马黛茶及调味香料,1771111798.0
201801,10,第10章  谷物,547065625.0
201801,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,386448462.0
201801,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,2059137538.0
201801,13,第13章  虫胶；树胶、树脂及其他植物液、汁,855797383.0
201801,14,第14章  编结用植物材料；其他植物产品,81902658.0
201801,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,617770479.0
201801,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,6134276755.0
201801,17,第17章  糖及糖食,1015126970.0
201801,18,第18章  可可及可可制品,251089619.0
201801,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,1101250784.0
201801,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,4725027755.0
201801,21,第21章  杂项食品,1979842613.0
201801,22,第22章  饮料、酒及醋,866130247.0
201801,23,第23章  食品工业的残渣及废料；配制的动物饲料,1876604309.0
201801,24,第24章  烟草、烟草及烟草代用品的制品,367809803.0
201801,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,2524041508.0
201801,26,第26章  矿砂、矿渣及矿灰,467246686.0
201801,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,20154532285.0
201801,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,9855173622.0
201801,29,第29章  有机化学品,32275281629.0
201801,30,第30章  药品,4148875182.0
201801,31,第31章  肥料,2075469614.0
201801,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,3925477042.0
201801,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,2777088887.0
201801,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2079244886.0
201801,35,第35章  蛋白类物质；改性淀粉；胶；酶,1689400157.0
201801,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,429772894.0
201801,37,第37章  照相及电影用品,583043149.0
