数据年月,商品编码,商品名称,人民币
201805,1,第1章   活动物,259738051.0
201805,2,第2章   肉及食用杂碎,452363587.0
201805,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,7131274696.0
201805,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,304518050.0
201805,5,第5章   其他动物产品,1665566932.0
201805,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,207853080.0
201805,7,第7章   食用蔬菜、根及块茎,5406855824.0
201805,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,1819010061.0
201805,9,第9章   咖啡、茶、马黛茶及调味香料,1874070909.0
201805,10,第10章  谷物,354637934.0
201805,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,464655726.0
201805,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,1473987114.0
201805,13,第13章  虫胶；树胶、树脂及其他植物液、汁,872131696.0
201805,14,第14章  编结用植物材料；其他植物产品,74561995.0
201805,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,531617049.0
201805,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,5521950436.0
201805,17,第17章  糖及糖食,1009748586.0
201805,18,第18章  可可及可可制品,170028630.0
201805,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,942454407.0
201805,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,4467131904.0
201805,21,第21章  杂项食品,1974732682.0
201805,22,第22章  饮料、酒及醋,1364100901.0
201805,23,第23章  食品工业的残渣及废料；配制的动物饲料,1778418547.0
201805,24,第24章  烟草、烟草及烟草代用品的制品,776923218.0
201805,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,2194058381.0
201805,26,第26章  矿砂、矿渣及矿灰,819988132.0
201805,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,29634509095.0
201805,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,11370661459.0
201805,29,第29章  有机化学品,33741877306.0
201805,30,第30章  药品,4687600957.0
201805,31,第31章  肥料,3570745579.0
201805,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,4376170774.0
201805,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,2888288123.0
201805,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2146295547.0
201805,35,第35章  蛋白类物质；改性淀粉；胶；酶,1674205764.0
201805,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,846819575.0
201805,37,第37章  照相及电影用品,613775035.0
201805,38,第38章  杂项化学产品,10780598584.0
201805,39,第39章  塑料及其制品,44208961098.0
201805,40,第40章  橡胶及其制品,11905024369.0
201805,41,第41章  生皮（毛皮除外）及皮革,365534948.0
201805,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,17035838588.0
201805,43,第43章  毛皮、人造毛皮及其制品,2115073509.0
201805,44,第44章  木及木制品；木炭,8788544100.0
201805,45,第45章  软木及软木制品,14737045.0
201805,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,917477310.0
201805,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,77882176.0
201805,48,第48章  纸及纸板；纸浆、纸或纸板制品,10534374600.0
201805,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,1806136755.0
201805,50,第50章  蚕丝,722541741.0
201805,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,1663669309.0
201805,52,第52章  棉花,9629223333.0
201805,53,第53章  其他植物纺织纤维；纸纱线及其机织物,680131122.0
201805,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,12110033985.0
201805,55,第55章  化学纤维短纤,7817427179.0
201805,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,3366933731.0
201805,57,第57章  地毯及纺织材料的其他铺地制品,1693226290.0
201805,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,2929090990.0
201805,59,第58章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,4834277642.0
201805,60,第60章  针织物及钩编织物,11355990688.0
201805,61,第61章  针织或钩编的服装及衣着附件,34758250265.0
201805,62,第62章  非针织或非钩编的服装及衣着附件,34208766136.0
201805,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,15027688932.0
201805,64,第64章  鞋靴、护腿和类似品及其零件,23885443666.0
201805,65,第65章  帽类及其零件,2231913859.0
201805,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,1540988109.0
201805,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,3322932836.0
201805,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,6730501167.0
201805,69,第69章  陶瓷产品,11637588792.0
201805,70,第70章  玻璃及其制品,9066044821.0
201805,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,9638239092.0
201805,72,第72章  钢铁,29629173368.0
201805,73,第73章  钢铁制品,36863651802.0
201805,74,第74章  铜及其制品,3715106142.0
