数据年月,商品编码,商品名称,人民币
202507,1,第1章   活动物,276470266.0
202507,2,第2章   肉及食用杂碎,1019434969.0
202507,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,6457623879.0
202507,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,572459624.0
202507,5,第5章   其他动物产品,1190341420.0
202507,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,358335938.0
202507,7,第7章   食用蔬菜、根及块茎,6706353816.0
202507,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,3880747806.0
202507,9,第9章   咖啡、茶、马黛茶及调味香料,1893814160.0
202507,10,第10章  谷物,361990272.0
202507,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,801543019.0
202507,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,1609478512.0
202507,13,第13章  虫胶；树胶、树脂及其他植物液、汁,1320045272.0
202507,14,第14章  编结用植物材料；其他植物产品,200204438.0
202507,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,2327831978.0
202507,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,6497109501.0
202507,17,第17章  糖及糖食,2237017251.0
202507,18,第18章  可可及可可制品,415298459.0
202507,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,1866998669.0
202507,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,5116369519.0
202507,21,第21章  杂项食品,4632520288.0
202507,22,第22章  饮料、酒及醋,1749545565.0
202507,23,第23章  食品工业的残渣及废料；配制的动物饲料,2458642565.0
202507,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,4826647953.0
202507,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,2155535937.0
202507,26,第26章  矿砂、矿渣及矿灰,1792428148.0
202507,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,32717795008.0
202507,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,14664630773.0
202507,29,第29章  有机化学品,49364773382.0
202507,30,第30章  药品,8291492456.0
202507,31,第31章  肥料,14795962691.0
202507,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,5803005491.0
202507,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,5987720182.0
202507,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,5889537646.0
202507,35,第35章  蛋白类物质；改性淀粉；胶；酶,3233039910.0
202507,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,901178819.0
202507,37,第37章  照相及电影用品,814103249.0
202507,38,第38章  杂项化学产品,19131537664.0
202507,39,第39章  塑料及其制品,85106379604.0
202507,40,第40章  橡胶及其制品,23951125992.0
202507,41,第41章  生皮（毛皮除外）及皮革,709556691.0
202507,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,19065816873.0
202507,43,第43章  毛皮、人造毛皮及其制品,656630923.0
202507,44,第44章  木及木制品；木炭,10304298785.0
202507,45,第45章  软木及软木制品,36438258.0
202507,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,658196603.0
202507,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,154112935.0
202507,48,第48章  纸及纸板；纸浆、纸或纸板制品,17737742269.0
202507,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,2915765804.0
202507,50,第50章  蚕丝,457284682.0
202507,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,968231600.0
202507,52,第52章  棉花,6182446527.0
202507,53,第53章  其他植物纺织纤维；纸纱线及其机织物,660835104.0
202507,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,16490633961.0
202507,55,第55章  化学纤维短纤,7792716055.0
202507,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,4964818549.0
202507,57,第57章  地毯及纺织材料的其他铺地制品,2388357023.0
202507,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,3562759653.0
202507,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,5785616241.0
202507,60,第60章  针织物及钩编织物,15650947255.0
202507,61,第61章  针织或钩编的服装及衣着附件,59841860640.0
202507,62,第62章  非针织或非钩编的服装及衣着附件,45383998644.0
202507,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,20415761723.0
202507,64,第64章  鞋靴、护腿和类似品及其零件,31146148304.0
202507,65,第65章  帽类及其零件,3968936663.0
202507,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,1671878251.0
202507,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,5505738817.0
202507,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,6429114616.0
202507,69,第69章  陶瓷产品,13563697874.0
202507,70,第70章  玻璃及其制品,14680956088.0
202507,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,24599580982.0
202507,72,第72章  钢铁,44343317394.0
202507,73,第73章  钢铁制品,64598014035.0
202507,74,第74章  铜及其制品,14935199084.0
202507,75,第75章  镍及其制品,2278009893.0
202507,76,第76章  铝及其制品,24387674067.0
202507,78,第78章  铅及其制品,81311423.0
202507,79,第79章  锌及其制品,109119533.0
202507,80,第80章  锡及其制品,504480483.0
202507,81,第81章  其他贱金属、金属陶瓷及其制品,2763607300.0
202507,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,14774103303.0
202507,83,第83章  贱金属杂项制品,15553980721.0
202507,84,第84章  核反应堆、锅炉、机器、机械器具及零件,362437692543.0
202507,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,613924072985.0
202507,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,13074770546.0
202507,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,150148751674.0
202507,88,第88章  航空器、航天器及其零件,4022940067.0
202507,89,第89章  船舶及浮动结构体,27554734287.0
202507,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,48471299925.0
202507,91,第91章  钟表及其零件,3054674266.0
202507,92,第92章  乐器及其零件、附件,1295220803.0
202507,93,第93章  武器、弹药及其零件、附件,138845463.0
202507,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,69628757091.0
202507,95,第95章  玩具、游戏品、运动用品及其零件、附件,60543197318.0
202507,96,第96章  杂项制品,16304910079.0
202507,97,第97章  艺术品、收藏品及古物,669886690.0
202507,98,第98章  特殊交易品及未分类商品,69105120920.0
202507,99,跨境电商B2B简化申报商品,1380083861.0
