数据年月,商品编码,商品名称,人民币
201712,1,第1章   活动物,334370611.0
201712,2,第2章   肉及食用杂碎,6642217744.0
201712,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,5524416281.0
201712,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,2448806539.0
201712,5,第5章   其他动物产品,362540988.0
201712,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,166916447.0
201712,7,第7章   食用蔬菜、根及块茎,1356521025.0
201712,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,4033205527.0
201712,9,第9章   咖啡、茶、马黛茶及调味香料,238157945.0
201712,10,第10章  谷物,3673031152.0
201712,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,750645993.0
201712,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,28984143035.0
201712,13,第13章  虫胶；树胶、树脂及其他植物液、汁,181074943.0
201712,14,第14章  编结用植物材料；其他植物产品,85138894.0
201712,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,5478316343.0
201712,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,117719507.0
201712,17,第17章  糖及糖食,588535108.0
201712,18,第18章  可可及可可制品,467583428.0
201712,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,3944261216.0
201712,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,694732134.0
201712,21,第21章  杂项食品,1396398094.0
201712,22,第22章  饮料、酒及醋,3423263662.0
201712,23,第23章  食品工业的残渣及废料；配制的动物饲料,1084548895.0
201712,24,第24章  烟草、烟草及烟草代用品的制品,1047511210.0
201712,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,4344761299.0
201712,26,第26章  矿砂、矿渣及矿灰,69806841273.0
201712,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,165166756770.0
201712,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,7339457146.0
201712,29,第29章  有机化学品,34892662325.0
201712,30,第30章  药品,16332505667.0
201712,31,第31章  肥料,1350782143.0
201712,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,2728917647.0
201712,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,4980625663.0
201712,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,2737670640.0
201712,35,第35章  蛋白类物质；改性淀粉；胶；酶,2024523761.0
201712,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,87985514.0
201712,37,第37章  照相及电影用品,1459338947.0
201712,38,第38章  杂项化学产品,10395277098.0
201712,39,第39章  塑料及其制品,41242940347.0
201712,40,第40章  橡胶及其制品,12572804364.0
201712,41,第41章  生皮（毛皮除外）及皮革,2957382964.0
201712,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,1460296800.0
201712,43,第43章  毛皮、人造毛皮及其制品,161807615.0
201712,44,第44章  木及木制品；木炭,14082349515.0
201712,45,第45章  软木及软木制品,29582637.0
