数据年月,商品编码,商品名称,美元
201901,1,第1章   活动物,33634859.0
201901,2,第2章   肉及食用杂碎,62261737.0
201901,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,1336738159.0
201901,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,57148544.0
201901,5,第5章   其他动物产品,194104909.0
201901,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,44975699.0
201901,7,第7章   食用蔬菜、根及块茎,773612874.0
201901,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,543831500.0
201901,9,第9章   咖啡、茶、马黛茶及调味香料,295053542.0
201901,10,第10章  谷物,59138592.0
201901,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,58852419.0
201901,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,313073114.0
201901,13,第13章  虫胶；树胶、树脂及其他植物液、汁,138020397.0
201901,14,第14章  编结用植物材料；其他植物产品,11513035.0
201901,15,第15章  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡,85723653.0
201901,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品,962457248.0
201901,17,第17章  糖及糖食,164561934.0
201901,18,第18章  可可及可可制品,41592589.0
201901,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,220989836.0
201901,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,695854940.0
201901,21,第21章  杂项食品,319768978.0
201901,22,第22章  饮料、酒及醋,133870138.0
201901,23,第23章  食品工业的残渣及废料；配制的动物饲料,238898860.0
201901,24,第24章  烟草、烟草及烟草代用品的制品,72137371.0
201901,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,297400213.0
201901,26,第26章  矿砂、矿渣及矿灰,78776547.0
201901,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,3637764976.0
201901,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,1562084849.0
201901,29,第29章  有机化学品,5147073653.0
201901,30,第30章  药品,716329419.0
201901,31,第31章  肥料,614252580.0
201901,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,614965342.0
201901,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,488711805.0
201901,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,371663240.0
201901,35,第35章  蛋白类物质；改性淀粉；胶；酶,291606569.0
201901,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,69695079.0
201901,37,第37章  照相及电影用品,88122328.0
201901,38,第38章  杂项化学产品,1436040138.0
201901,39,第39章  塑料及其制品,7445631474.0
201901,40,第40章  橡胶及其制品,1883312126.0
201901,41,第41章  生皮（毛皮除外）及皮革,61626798.0
201901,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,2780089467.0
201901,43,第43章  毛皮、人造毛皮及其制品,346500328.0
201901,44,第44章  木及木制品；木炭,1298599478.0
201901,45,第45章  软木及软木制品,2350049.0
201901,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,179209284.0
201901,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,11048999.0
201901,48,第48章  纸及纸板；纸浆、纸或纸板制品,1809446744.0
201901,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,333139454.0
201901,50,第50章  蚕丝,76358146.0
201901,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,194150200.0
201901,52,第52章  棉花,1378435477.0
201901,53,第53章  其他植物纺织纤维；纸纱线及其机织物,174234828.0
201901,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,2222864559.0
201901,55,第55章  化学纤维短纤,1205522451.0
201901,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,541609787.0
201901,57,第57章  地毯及纺织材料的其他铺地制品,250479814.0
201901,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,527565694.0
201901,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,748447752.0
201901,60,第60章  针织物及钩编织物,1674397035.0
201901,61,第61章  针织或钩编的服装及衣着附件,6262664887.0
201901,62,第62章  非针织或非钩编的服装及衣着附件,6305420138.0
201901,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,2609774030.0
201901,64,第64章  鞋靴、护腿和类似品及其零件,5152154463.0
201901,65,第65章  帽类及其零件,416282111.0
201901,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,372161564.0
201901,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,721335698.0
201901,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,1039742993.0
201901,69,第69章  陶瓷产品,2357186938.0
201901,70,第70章  玻璃及其制品,1590515280.0
201901,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,1731470315.0
201901,72,第72章  钢铁,3772705661.0
201901,73,第73章  钢铁制品,6359438082.0
201901,74,第74章  铜及其制品,627081334.0
201901,75,第75章  镍及其制品,28594042.0
201901,76,第76章  铝及其制品,2492287255.0
201901,78,第78章  铅及其制品,5041619.0
201901,79,第79章  锌及其制品,19697616.0
201901,80,第80章  锡及其制品,14969942.0
201901,81,第81章  其他贱金属、金属陶瓷及其制品,346656094.0
201901,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,1547149169.0
201901,83,第83章  贱金属杂项制品,1876327523.0
201901,84,第84章  核反应堆、锅炉、机器、机械器具及零件,35715878637.0
201901,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,55417078324.0
201901,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,899185554.0
201901,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,6540694732.0
201901,88,第88章  航空器、航天器及其零件,290719587.0
201901,89,第89章  船舶及浮动结构体,2839314108.0
201901,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,6010850031.0
201901,91,第91章  钟表及其零件,451759162.0
201901,92,第92章  乐器及其零件、附件,140420218.0
201901,93,第93章  武器、弹药及其零件、附件,11450883.0
201901,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,9646550243.0
201901,95,第95章  玩具、游戏品、运动用品及其零件、附件,4250223762.0
201901,96,第96章  杂项制品,1651196123.0
201901,97,第97章  艺术品、收藏品及古物,29970735.0
201901,98,第98章  特殊交易品及未分类商品,1046863069.0
