数据年月,商品编码,商品名称,美元
202206,1,第1章   活动物,44732175.0
202206,2,第2章   肉及食用杂碎,77159765.0
202206,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,1035352859.0
202206,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,57605342.0
202206,5,第5章   其他动物产品,190036652.0
202206,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,43443239.0
202206,7,第7章   食用蔬菜、根及块茎,877230509.0
202206,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,276775974.0
202206,9,第9章   咖啡、茶、马黛茶及调味香料,316262871.0
202206,10,第10章  谷物,110952937.0
202206,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,110459016.0
202206,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,224835959.0
202206,13,第13章  虫胶；树胶、树脂及其他植物液、汁,222298753.0
202206,14,第14章  编结用植物材料；其他植物产品,20108868.0
202206,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,406417618.0
202206,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,1076267770.0
202206,17,第17章  糖及糖食,234296023.0
202206,18,第18章  可可及可可制品,30907078.0
202206,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,204801096.0
202206,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,779246720.0
202206,21,第21章  杂项食品,560523311.0
202206,22,第22章  饮料、酒及醋,211139980.0
202206,23,第23章  食品工业的残渣及废料；配制的动物饲料,366655115.0
202206,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,668139928.0
202206,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,426636751.0
202206,26,第26章  矿砂、矿渣及矿灰,313799402.0
202206,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,4744019049.0
202206,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,3980348605.0
202206,29,第29章  有机化学品,10285125872.0
202206,30,第30章  药品,1167453863.0
202206,31,第31章  肥料,968124534.0
202206,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,1030604955.0
202206,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,727336083.0
202206,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,641689841.0
202206,35,第35章  蛋白类物质；改性淀粉；胶；酶,416859238.0
202206,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,108877926.0
202206,37,第37章  照相及电影用品,133339932.0
202206,38,第38章  杂项化学产品,3755175883.0
202206,39,第39章  塑料及其制品,13281597231.0
202206,40,第40章  橡胶及其制品,2855004254.0
202206,41,第41章  生皮（毛皮除外）及皮革,90789384.0
202206,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,3702398762.0
202206,43,第43章  毛皮、人造毛皮及其制品,210715038.0
202206,44,第44章  木及木制品；木炭,1676523019.0
202206,45,第45章  软木及软木制品,3687962.0
202206,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,149543288.0
202206,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,43931302.0
202206,48,第48章  纸及纸板；纸浆、纸或纸板制品,2866286691.0
202206,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,458063041.0
202206,50,第50章  蚕丝,93852629.0
202206,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,201714216.0
202206,52,第52章  棉花,1143572913.0
202206,53,第53章  其他植物纺织纤维；纸纱线及其机织物,74388062.0
202206,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,2711752806.0
202206,55,第55章  化学纤维短纤,1332982626.0
202206,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,716050203.0
202206,57,第57章  地毯及纺织材料的其他铺地制品,350610027.0
202206,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,566853209.0
202206,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,985588458.0
202206,60,第60章  针织物及钩编织物,2222325305.0
202206,61,第61章  针织或钩编的服装及衣着附件,9246635068.0
202206,62,第62章  非针织或非钩编的服装及衣着附件,7821190467.0
202206,63,第63章  其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,3359472860.0
202206,64,第64章  鞋靴、护腿和类似品及其零件,6036366228.0
202206,65,第65章  帽类及其零件,660252576.0
202206,66,第66章  雨伞、阳伞、手杖、鞭子、马鞭及其零件,284784228.0
202206,67,第67章  已加工羽毛、羽绒及其制品；人造花；人发制品,1133394090.0
202206,68,第68章  石料、石膏、水泥、石棉、云母及类似材料的制品,1291188934.0
202206,69,第69章  陶瓷产品,2806599839.0
202206,70,第70章  玻璃及其制品,2338177951.0
202206,71,第71章  天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,2783577318.0
202206,72,第72章  钢铁,9258155143.0
202206,73,第73章  钢铁制品,10292683807.0
202206,74,第74章  铜及其制品,922290811.0
202206,75,第75章  镍及其制品,125284235.0
202206,76,第76章  铝及其制品,3963863690.0
202206,78,第78章  铅及其制品,85599439.0
202206,79,第79章  锌及其制品,45770396.0
202206,80,第80章  锡及其制品,37388987.0
202206,81,第81章  其他贱金属、金属陶瓷及其制品,571944794.0
202206,82,第82章  贱金属工具、器具、利口器、餐匙、餐叉及其零件,2198471685.0
202206,83,第83章  贱金属杂项制品,2632800431.0
202206,84,第84章  核反应堆、锅炉、机器、机械器具及零件,49770575077.0
202206,85,第85章  电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,80013871542.0
202206,86,第86章  铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,1847924524.0
202206,87,第87章  车辆及其零件、附件，但铁道及电车道车辆除外,11863032182.0
202206,88,第88章  航空器、航天器及其零件,357074534.0
202206,89,第89章  船舶及浮动结构体,3167000704.0
202206,90,第90章  光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,6248484377.0
202206,91,第91章  钟表及其零件,426354620.0
202206,92,第92章  乐器及其零件、附件,190279618.0
202206,93,第93章  武器、弹药及其零件、附件,24798006.0
202206,94,第94章  家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,11202185600.0
202206,95,第95章  玩具、游戏品、运动用品及其零件、附件,10391663088.0
202206,96,第96章  杂项制品,2412041850.0
202206,97,第97章  艺术品、收藏品及古物,73096645.0
202206,98,第98章  特殊交易品及未分类商品,4490107602.0
202206,99,跨境电商B2B简化申报商品,448987490.0
