数据年月,商品编码,商品名称,美元
202305,1,第1章   活动物,42204936.0
202305,2,第2章   肉及食用杂碎,2136166390.0
202305,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,1856549703.0
202305,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,741265810.0
202305,5,第5章   其他动物产品,131119278.0
202305,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,20982310.0
202305,7,第7章   食用蔬菜、根及块茎,297082017.0
202305,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,1915409449.0
202305,9,第9章   咖啡、茶、马黛茶及调味香料,198929208.0
202305,10,第10章  谷物,1845980035.0
202305,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,109883818.0
202305,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,8041126929.0
202305,13,第13章  虫胶；树胶、树脂及其他植物液、汁,41954830.0
202305,14,第14章  编结用植物材料；其他植物产品,14096626.0
202305,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,1142705849.0
202305,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,58644012.0
202305,17,第17章  糖及糖食,152160274.0
202305,18,第18章  可可及可可制品,69640720.0
202305,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,592551616.0
202305,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,186406446.0
202305,21,第21章  杂项食品,626219658.0
202305,22,第22章  饮料、酒及醋,459262824.0
202305,23,第23章  食品工业的残渣及废料；配制的动物饲料,751803160.0
202305,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,244830171.0
202305,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,1664566687.0
202305,26,第26章  矿砂、矿渣及矿灰,19783176451.0
202305,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,45858707493.0
202305,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,1953033778.0
202305,29,第29章  有机化学品,4260352020.0
202305,30,第30章  药品,3824920656.0
202305,31,第31章  肥料,458339265.0
202305,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,424841842.0
202305,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,1555485617.0
202305,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,491378811.0
202305,35,第35章  蛋白类物质；改性淀粉；胶；酶,335227486.0
202305,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,8023898.0
202305,37,第37章  照相及电影用品,296589134.0
202305,38,第38章  杂项化学产品,2210470802.0
202305,39,第39章  塑料及其制品,5199700685.0
202305,40,第40章  橡胶及其制品,1330941960.0
202305,41,第41章  生皮（毛皮除外）及皮革,259277236.0
202305,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,556480609.0
202305,43,第43章  毛皮、人造毛皮及其制品,85847304.0
202305,44,第44章  木及木制品；木炭,1774938671.0
202305,45,第45章  软木及软木制品,3527151.0
202305,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,3432282.0
202305,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,2207326980.0
202305,48,第48章  纸及纸板；纸浆、纸或纸板制品,615155097.0
202305,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,167801046.0
202305,50,第50章  蚕丝,5776823.0
202305,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,297309595.0
202305,52,第52章  棉花,629973384.0
202305,53,第53章  其他植物纺织纤维；纸纱线及其机织物,114498031.0
202305,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,184358050.0
202305,55,第55章  化学纤维短纤,118205408.0
202305,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,103124865.0
202305,57,第57章  地毯及纺织材料的其他铺地制品,6212680.0
202305,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,26354791.0
202305,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,117497981.0
