数据年月,商品编码,商品名称,美元
202411,1,第1章   活动物,19693775.0
202411,2,第2章   肉及食用杂碎,2040621465.0
202411,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,1778089488.0
202411,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,629825685.0
202411,5,第5章   其他动物产品,97424827.0
202411,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,35614495.0
202411,7,第7章   食用蔬菜、根及块茎,166382816.0
202411,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,1065610501.0
202411,9,第9章   咖啡、茶、马黛茶及调味香料,122623661.0
202411,10,第10章  谷物,584430318.0
202411,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,183234518.0
202411,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,4294518378.0
202411,13,第13章  虫胶；树胶、树脂及其他植物液、汁,33055828.0
202411,14,第14章  编结用植物材料；其他植物产品,15564934.0
202411,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,1047795158.0
202411,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,64732173.0
202411,17,第17章  糖及糖食,444570226.0
202411,18,第18章  可可及可可制品,178910472.0
202411,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,553999047.0
202411,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,239136794.0
202411,21,第21章  杂项食品,598394714.0
202411,22,第22章  饮料、酒及醋,497374689.0
202411,23,第23章  食品工业的残渣及废料；配制的动物饲料,337246100.0
202411,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,40549181.0
202411,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,916921043.0
202411,26,第26章  矿砂、矿渣及矿灰,20224801965.0
202411,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,40959179589.0
202411,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,1202775298.0
202411,29,第29章  有机化学品,4219633701.0
202411,30,第30章  药品,3409558966.0
202411,31,第31章  肥料,349489536.0
202411,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,416328831.0
202411,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,1228477970.0
202411,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,467208450.0
202411,35,第35章  蛋白类物质；改性淀粉；胶；酶,347808957.0
202411,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,11094717.0
202411,37,第37章  照相及电影用品,319369000.0
202411,38,第38章  杂项化学产品,2029801861.0
202411,39,第39章  塑料及其制品,4919168179.0
202411,40,第40章  橡胶及其制品,1782550087.0
202411,41,第41章  生皮（毛皮除外）及皮革,229849735.0
202411,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,465950306.0
202411,43,第43章  毛皮、人造毛皮及其制品,93841209.0
202411,44,第44章  木及木制品；木炭,1322968195.0
202411,45,第45章  软木及软木制品,2169618.0
202411,46,第46章  稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,1122766.0
202411,47,第47章  木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,1840035650.0
202411,48,第48章  纸及纸板；纸浆、纸或纸板制品,491817769.0
202411,49,第49章  书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,187522438.0
202411,50,第50章  蚕丝,6749092.0
202411,51,第51章  羊毛、动物细毛或粗毛；马毛纱线及其机织物,175457150.0
202411,52,第52章  棉花,524168445.0
202411,53,第53章  其他植物纺织纤维；纸纱线及其机织物,84824418.0
202411,54,第54章  化学纤维长丝；化学纤维纺织材料制扁条及类似品,165948428.0
202411,55,第55章  化学纤维短纤,134066864.0
202411,56,第56章  絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,92962376.0
202411,57,第57章  地毯及纺织材料的其他铺地制品,7247093.0
202411,58,第58章  特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,22833405.0
202411,59,第59章  浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,101206618.0
202411,60,第60章  针织物及钩编织物,54148865.0
202411,61,第61章  针织或钩编的服装及衣着附件,312254463.0
202411,62,第62章  非针织或非钩编的服装及衣着附件,500237821.0
