数据年月,商品编码,商品名称,美元
202412,1,第1章   活动物,34988112.0
202412,2,第2章   肉及食用杂碎,2156340050.0
202412,3,第3章   鱼、甲壳动物、软体动物及其他水生无脊椎动物,1858042575.0
202412,4,第4章   乳品；蛋品；天然蜂蜜；其他食用动物产品,774838674.0
202412,5,第5章   其他动物产品,103073503.0
202412,6,第6章   活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶,17689631.0
202412,7,第7章   食用蔬菜、根及块茎,151486508.0
202412,8,第8章   食用水果及坚果；甜瓜或柑橘属水果的果皮,2005532362.0
202412,9,第9章   咖啡、茶、马黛茶及调味香料,159932068.0
202412,10,第10章  谷物,672498270.0
202412,11,第11章  制粉工业产品；麦芽；淀粉；菊粉；面筋,261284054.0
202412,12,第12章  含油子仁及果实；杂项子仁及果仁；工业用或药用植物；稻草、秸秆及饲料,4441696433.0
202412,13,第13章  虫胶；树胶、树脂及其他植物液、汁,37339796.0
202412,14,第14章  编结用植物材料；其他植物产品,13642501.0
202412,15,动、植物或微生物油、脂及其分解产品；精制的食用油脂；动、植物蜡,1381284373.0
202412,16,第16章  肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,79667030.0
202412,17,第17章  糖及糖食,365286635.0
202412,18,第18章  可可及可可制品,187691324.0
202412,19,第19章  谷物、粮食粉、淀粉或乳的制品；糕饼点心,594811045.0
202412,20,第20章  蔬菜、水果、坚果或植物其他部分的制品,352571362.0
202412,21,第21章  杂项食品,667743792.0
202412,22,第22章  饮料、酒及醋,528864746.0
202412,23,第23章  食品工业的残渣及废料；配制的动物饲料,417946020.0
202412,24,第24章  烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,72344577.0
202412,25,第25章  盐；硫磺；泥土及石料；石膏料、石灰及水泥,999486482.0
202412,26,第26章  矿砂、矿渣及矿灰,21811253335.0
202412,27,第27章  矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,40792208659.0
202412,28,第28章  无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,1704015890.0
202412,29,第29章  有机化学品,4383499431.0
202412,30,第30章  药品,3593659668.0
202412,31,第31章  肥料,441656536.0
202412,32,第32章  鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,469755123.0
202412,33,第33章  精油及香膏；芳香料制品及化妆盥洗品,1299061488.0
202412,34,第34章  肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,524666861.0
202412,35,第35章  蛋白类物质；改性淀粉；胶；酶,403457113.0
202412,36,第36章  炸药；烟火制品；引火合金；易燃材料制品,16162325.0
202412,37,第37章  照相及电影用品,356045418.0
202412,38,第38章  杂项化学产品,2288762841.0
202412,39,第39章  塑料及其制品,5519835021.0
202412,40,第40章  橡胶及其制品,2016578980.0
202412,41,第41章  生皮（毛皮除外）及皮革,262897567.0
202412,42,第42章  皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,534062436.0
202412,43,第43章  毛皮、人造毛皮及其制品,29923127.0
202412,44,第44章  木及木制品；木炭,1466546934.0
